x_m	y_m
-33.619781368774305	-39.05605326117059
-33.36758816710592	-38.68416258729448
-33.11466943658524	-38.31225067186952
-32.86564875434668	-37.93819237411539
-32.62527418913378	-37.55980725352331
-32.398293899316855	-37.17491486958452
-32.189455953639445	-36.78133469216346
-32.00350851047187	-36.376886460004926
-31.845222851895855	-35.95941285631158
-31.72147532437284	-35.52887175649284
-31.642893782847338	-35.088990111291736
-31.620493538870182	-34.64388403096663
-31.66442330257495	-34.19809571152804
-31.775383865820345	-33.76081369132517
-31.948263902489323	-33.344084438109675
-32.17786640325516	-32.95999421392728
-32.457820247862756	-32.61659975004297
-32.7781502436409	-32.30959412076582
-33.128192774556545	-32.03230676274063
-33.49737152106852	-31.778030365628904
-33.87719479310765	-31.539183489024683
-34.26129451772962	-31.30729380224507
-34.643398433026974	-31.07384909068629
-35.0180776651713	-30.83131774643677
-35.38455712169633	-30.577578393041275
-35.743657515103635	-30.312364749311428
-36.09620108155025	-30.035412326594578
-36.44208000000966	-29.746199586608878
-36.77605513656458	-29.442786288638533
-37.0911276249338	-29.122745697760205
-37.38034547364644	-28.783673844254775
-37.64063170542913	-28.425017910091253
-37.87554262161972	-28.04939374271657
-38.08928548292041	-27.6597281945335
-38.286067460406585	-27.258948117944776
-38.470095814780436	-26.84998009647284
-38.645577537863794	-26.435750982520425
-38.8167192629713	-26.01918726998314
-38.9868188974098	-25.60256879547814
-39.156454354711066	-25.18624080139442
-39.325696619291506	-24.770187871924364
-39.494616585940776	-24.35439477051396
-39.66328514944852	-23.938845991728787
-39.831773473484745	-23.523526299014836
-40.0001523632123	-23.108420186937693
-40.168492892674415	-22.69351232931654
-40.33686595666072	-22.278787310343777
-40.50534262921445	-21.864229893465364
-40.673993715498455	-21.449824573246914
-40.84289028955595	-21.035556113134376
-41.012103335803374	-20.621408918066578
-41.181703749030355	-20.207367930743068
-41.351758570074644	-19.79341836274374
-41.52229262555664	-19.37955528459525
-41.69330618435671	-18.96577905480473
-41.86479888796767	-18.552090121506147
-42.03677046750919	-18.138489022460213
-42.2092206541009	-17.724976295427673
-42.382149358116	-17.311552298915664
-42.555556041793764	-16.898217660311712
-42.72944070513418	-16.48497273812298
-42.903802900003335	-16.071818159736974
-43.07864253677441	-15.658754283660857
-43.25395916731348	-15.245781647655347
-43.429752701993756	-14.832900789481192
-43.606022782308074	-14.420112157272317
-43.78276922900287	-14.007416288789473
-43.95955555961851	-13.59469478704513
-44.13356614859668	-13.181181432625056
-44.30117774338854	-12.765890061976247
-44.45876691219172	-12.347834421918874
-44.60270977506986	-11.926028080019544
-44.72938272096702	-11.499484783098444
-44.835161959573625	-11.067218098722181
-44.916635040547256	-10.628411078714276
-44.97257864785271	-10.184001129654852
-45.00306564806896	-9.735964701482244
-45.00818593686482	-9.286291688153007
-44.988029141028704	-8.836971983623739
-44.94268515622939	-8.389995481851008
-44.8722436988821	-7.947352256045003
-44.776811335238264	-7.51099133034676
-44.656876441668025	-7.08192907253702
-44.51330848764585	-6.660250179930813
-44.34699370285569	-6.245999107415239
-44.15875629524388	-5.83948426076924
-43.94908697147705	-5.442434002980779
-43.718365032123806	-5.057052794537926
-43.4669670889491	-4.685543751526932
-43.195103764905724	-4.329991772300093
-42.90270488221835	-3.9922827837394332
-42.589673285448335	-3.674283442967454
-42.25614386291224	-3.3775884794305715
-41.904626343939505	-3.1010089041535633
-41.53902227225702	-2.8417238035975725
-41.16325022068143	-2.5968922774499283
-40.78055530634121	-2.363954763886858
-40.3921984885227	-2.141180928131019
-39.99907720025838	-1.9269928905722264
-39.602088695327126	-1.7198124130931376
-39.202130317134696	-1.518061347203165
-38.80009940908674	-1.3201617236653547
-38.396893224962184	-1.1245352147355265
-37.993306933627935	-0.9297784441605749
-37.58958826352716	-0.7354202439137321
-37.18580291109582	-0.5413003612973194
-36.7820165727698	-0.34725836436003826
-36.37829476573144	-0.1531341796577748
-35.974703276043456	0.04123253513395961
-35.57130762088818	0.23600203271287115
-35.16816874648173	0.4313233624281056
-34.76530036572275	0.6272322853682489
-34.36268867608582	0.8236979699180851
-33.96031924765798	1.0206889570748652
-33.558178009033476	1.2181737878358538
-33.15625053029936	1.4161209135715471
-32.75452274004986	1.6144988752791825
-32.35298029799882	1.813276213956038
-31.95160895348687	2.0124213809725826
-31.550394455854676	2.2119028276992987
-31.14932255444285	2.411689095133437
-30.748379088218847	2.6117487242722626
-30.34754962726971	2.812050166486257
-29.946820010562885	3.0125618731459034
-29.546175987439	3.213252474875235
-29.14560330723871	3.4140904230447475
-28.74508780892942	3.6150441690248827
-28.344615062598205	3.8160822538129455
-27.94417090721251	4.017173128779378
-27.543741092112956	4.218285334921458
-27.143311366640198	4.419387413236452
-26.742867480134848	4.620447815094812
-26.34239518193759	4.821435081493831
-25.941880221389038	5.022317574177183
-25.54130834782983	5.22306401339571
-25.140665220973823	5.423642671266303
-24.739936769415255	5.624022268039804
-24.339108563241158	5.8241711654599
-23.938166531045763	6.024057904523869
-23.537096691050074	6.223651922496844
-23.135895458182556	6.422946855876849
-22.73456910631841	6.621959464873309
-22.333124536720323	6.820707943724288
-21.931568381770656	7.019210128160682
-21.5299075427321	7.217484212420543
-21.128148741613806	7.415548032234753
-20.726298700424884	7.613419692214581
-20.32436423080127	7.811117207344515
-19.922352144378895	8.008658592609
-19.52026916316687	8.206061773365743
-19.118122098801116	8.403344854226
-18.71591767329077	8.600525850174243
-18.31366278789855	8.79762268656815
-17.91136407500678	8.994653468018992
-17.5090283462514	9.191636119884446
-17.106662413268324	9.388588657148999
-16.70427299806668	9.585529184423892
-16.30186691228238	9.782475627066834
-15.89945096755136	9.979446089689064
-15.497031796255959	10.176458408021492
-15.094616389285672	10.373530776302156
-14.692211379022835	10.570681119888762
-14.28982348747659	10.767927364138973
-13.88745970553643	10.965287703290855
-13.48512657595791	11.162780062702073
-13.082830910376952	11.36042236773033
-12.680579610056268	11.558232812613666
-12.278379397004976	11.756229233082989
-11.87623690360545	11.954429285615616
-11.47415105433619	12.152816210002097
-11.072107867418213	12.351315974515197
-10.670091927043929	12.549848721686445
-10.268087907032507	12.748334862927706
-9.866080481203115	12.946694720024084
-9.464054413001744	13.144848525133881
-9.061994286620765	13.342716600042174
-8.659884865506143	13.540219356160852
-8.25771073385029	13.737277025648217
-7.855456655099169	13.933809930289375
-7.4531072134451515	14.129738391869392
-7.050647082707447	14.324982732173375
-6.648061115958788	14.519463272986405
-6.245333807764777	14.713100246466794
-5.842443378815839	14.90581791797833
-5.439220972242582	15.097626684228446
-5.035351908390842	15.288623073268308
-4.630515054477715	15.478906929340187
-4.224389456973836	15.66857836556677
-3.816654162349865	15.85773731581715
-3.4069881274496807	16.046483893213992
-2.9951092967700985	16.23495486823643
